"","pidp","birthy","sex","ypnpal","yppals","year","age","ypfpark","ypmkfrn","yppalo","ypsdqk"
"365",205741557,1983,2,3,1,1994,11,NA,NA,NA,NA
"366",2492215,1979,2,5,3,1994,15,NA,NA,NA,NA
"367",2517371,1983,2,6,2,1994,11,NA,NA,NA,NA
"368",2555459,1982,1,15,2,1994,12,NA,NA,NA,NA
"369",2554775,1980,2,10,2,1994,14,NA,NA,NA,NA
"370",2566335,1980,1,10,4,1994,14,NA,NA,NA,NA
"371",2567019,1981,1,4,3,1994,13,NA,NA,NA,NA
"372",71213685,1982,2,15,1,1994,12,NA,NA,NA,NA
"373",2610535,1983,2,9,3,1994,11,NA,NA,NA,NA
"374",819681525,1980,1,7,2,1994,14,NA,NA,NA,NA
"375",818778493,1981,1,8,3,1994,13,NA,NA,NA,NA
"376",2623463,1982,1,5,1,1994,12,NA,NA,NA,NA
"377",2622779,1979,2,5,2,1994,15,NA,NA,NA,NA
"378",2625499,1980,2,10,4,1994,14,NA,NA,NA,NA
"379",136633089,1980,2,6,3,1994,14,NA,NA,NA,NA
"380",139151125,1982,1,2,1,1994,12,NA,NA,NA,NA
"381",272639213,1983,1,3,2,1994,11,NA,NA,NA,NA
"382",2683975,1979,1,4,1,1994,15,NA,NA,NA,NA
"383",665045,1981,1,3,2,1994,13,NA,NA,NA,NA
"384",2698939,1979,1,13,3,1994,15,NA,NA,NA,NA
"385",139066805,1981,1,3,2,1994,13,NA,NA,NA,NA
"386",479484325,1979,1,3,2,1994,15,NA,NA,NA,NA
"387",479474125,1981,2,3,4,1994,13,NA,NA,NA,NA
"388",2712539,1982,1,4,1,1994,12,NA,NA,NA,NA
"389",479987525,1982,2,4,2,1994,12,NA,NA,NA,NA
"390",2727499,1981,2,5,1,1994,13,NA,NA,NA,NA
"391",2732935,1981,1,6,4,1994,13,NA,NA,NA,NA
"392",819610125,1982,2,11,2,1994,12,NA,NA,NA,NA
"393",816659673,1979,1,5,3,1994,15,NA,NA,NA,NA
"394",818669685,1979,2,3,3,1994,15,NA,NA,NA,NA
"395",2777139,1981,2,5,1,1994,13,NA,NA,NA,NA
"396",2777823,1983,1,3,1,1994,11,NA,NA,NA,NA
"397",682522805,1982,1,5,2,1994,12,NA,NA,NA,NA
"398",2795495,1982,1,20,2,1994,12,NA,NA,NA,NA
"399",816673213,1983,1,10,4,1994,11,NA,NA,NA,NA
"400",819109645,1979,2,5,3,1994,15,NA,NA,NA,NA
"401",2801619,1983,1,4,1,1994,11,NA,NA,NA,NA
"402",2800935,1980,1,10,1,1994,14,NA,NA,NA,NA
"403",343941965,1982,1,2,1,1994,12,NA,NA,NA,NA
"404",343310925,1980,2,6,1,1994,14,NA,NA,NA,NA
"405",615449645,1983,1,2,3,1994,11,NA,NA,NA,NA
"406",2822695,1980,1,6,3,1994,14,NA,NA,NA,NA
"407",750645205,1979,2,5,3,1994,15,NA,NA,NA,NA
"408",751899125,1979,2,3,2,1994,15,NA,NA,NA,NA
